Global_Planner,Controller,Cost_Scaling_Factor,Inflation_Radius,Global_Path_Score,Local_Path_Score,Min_Global_Dist_To_Obst,Footprint_Type,Footprint_Inscribed_Radius,Collision,Task_result,Min_Local_Dist_To_Obstacl,Local_Path_Max_Dev,Elapsed_Time,Reaching_Error,Is_Reached,Relaxed_Task_Result
0,1,0.5,0.1,0.4047819900822743,0.8281924284945242,0.21213203751697787,0,0.275,0,1,0.3054419457912445,0.14455972490125804,14.918228149414062,0.20600994752795213,False,0
0,1,1.5,0.1,0.4047819900822743,0.6928266175394951,0.21213203751697787,0,0.275,1,0,0.2766307592391968,0.13605698673340605,14.513370037078857,0.40078007555153755,False,0
0,1,6.0,0.1,0.4047819900822743,0.49306780880099454,0.21213203751697787,0,0.275,1,0,0.275865375995636,0.14184211061328683,11.733469724655151,0.7160500842369769,False,0
0,1,10.0,0.1,0.4047819900822743,0.8131999108663055,0.21213203751697787,0,0.275,0,1,0.29479262232780457,0.1454866505298903,15.006636619567871,0.22363327119455198,False,0
0,1,20.0,0.1,0.4047819900822743,0.6986255505698872,0.21213203751697787,0,0.275,1,0,0.2799871563911438,0.13368800602937544,14.223357200622559,0.3948062699490297,False,0
0,1,25.0,0.1,0.4047819900822743,0.7606239418757806,0.21213203751697787,0,0.275,1,0,0.26637744903564453,0.14092333860108308,13.928494691848755,0.2957471896669659,False,0
0,1,30.0,0.1,0.4047819900822743,0.512536366233449,0.21213203751697787,0,0.275,1,0,0.2782320976257324,0.14496024478359915,12.10398817062378,0.6858180548244854,False,0
0,1,50.0,0.1,0.4047819900822743,0.501714178018894,0.21213203751697787,0,0.275,1,0,0.27968376874923706,0.1399665743170552,11.598812580108643,0.7052556320701311,False,0
0,1,0.5,0.2,0.41926646171983784,0.5101088018933353,0.2500000037252903,0,0.275,1,0,0.27660149335861206,0.1424744016763202,11.641882419586182,0.69088924865289,False,0
0,1,1.5,0.2,0.41926646171983784,0.8262784754381073,0.2500000037252903,0,0.275,0,1,0.327751100063324,0.1320620422310323,14.636807203292847,0.22036042881910578,False,0
0,1,6.0,0.2,0.41926646171983784,0.3670979801579679,0.2500000037252903,0,0.275,1,0,0.2778269946575165,0.13764763085511866,11.55091667175293,0.9091431079812912,False,0
0,1,10.0,0.2,0.41926646171983784,0.5155203281398022,0.2500000037252903,0,0.275,1,0,0.2692919969558716,0.1431439867524649,11.490558385848999,0.6800795014774008,False,0
0,1,20.0,0.2,0.41926646171983784,0.5084756245815104,0.2500000037252903,0,0.275,1,0,0.2778072655200958,0.14775926839472261,11.607372522354126,0.6939414707328965,False,0
0,1,25.0,0.2,0.41926646171983784,0.8147326091277703,0.2500000037252903,0,0.275,0,1,0.2960120737552643,0.1384526302027179,14.773821115493774,0.223038511764639,False,0
0,1,30.0,0.2,0.41926646171983784,0.6903705148585042,0.2500000037252903,0,0.275,1,0,0.2781369984149933,0.14074174262069675,16.059239387512207,0.39820508418838557,False,0
0,1,50.0,0.2,0.41926646171983784,0.814056100628074,0.2500000037252903,0,0.275,0,1,0.3076184093952179,0.1400940471272412,14.397748470306396,0.23085928826770472,False,0
0,1,0.5,0.3,0.37640785098258767,0.797151912346846,0.30000000447034836,0,0.275,0,1,0.28904229402542114,0.13589806863334836,14.673770189285278,0.24714294813479915,False,0
0,1,1.5,0.3,0.3767955552806346,0.8595385997519203,0.30000000447034836,0,0.275,0,1,0.3694327473640442,0.149251453661615,14.179722785949707,0.1900213019544768,False,0
