Global_Planner,Controller,Cost_Scaling_Factor,Inflation_Radius,Global_Path_Score,Local_Path_Score,Min_Global_Dist_To_Obst,Footprint_Type,Footprint_Inscribed_Radius,Collision,Task_result,Min_Local_Dist_To_Obstacl,Local_Path_Max_Dev,Elapsed_Time,Reaching_Error,Is_Reached,Relaxed_Task_Result
0,1,0.5,0.1,0.8822318635445923,0.2137919445449869,0.7433034484420097,0,0.275,1,0,0.8528628349304199,0.05077286956122846,7.028120279312134,5.4519074409082995,False,0
0,1,1.5,0.1,0.8822318635445923,0.21167695405534392,0.7433034484420097,0,0.275,1,0,0.8487394452095032,0.05616374090372989,7.0232720375061035,5.45976685606906,False,0
0,1,6.0,0.1,0.8822318635445923,0.21324716893148898,0.7433034484420097,0,0.275,1,0,0.8563247323036194,0.0569018729749273,7.024051666259766,5.460300198082489,False,0
0,1,10.0,0.1,0.8822318635445923,0.20714042242205397,0.7433034484420097,0,0.275,1,0,0.8508373498916626,0.05268315178364851,7.030976057052612,5.494180653627628,False,0
0,1,20.0,0.1,0.8822318635445923,0.21101259633538233,0.7433034484420097,0,0.275,1,0,0.8498240113258362,0.06108452459979621,7.026046991348267,5.465396644329333,False,0
0,1,25.0,0.1,0.8822318635445923,0.21300579445806087,0.7433034484420097,0,0.275,1,0,0.8452759385108948,0.05039683269378984,7.04030704498291,5.445705697695817,False,0
0,1,30.0,0.1,0.8822318635445923,0.2149871513326218,0.7433034484420097,0,0.275,1,0,0.8598191142082214,0.05394733276437285,7.034713506698608,5.453705983070627,False,0
0,1,50.0,0.1,0.8822318635445923,0.21624121336985744,0.7433034484420097,0,0.275,1,0,0.85417240858078,0.05462194779408836,7.03362250328064,5.436600588424384,False,0
0,1,0.5,0.2,0.882236423909911,0.21011880952869944,0.7433034484420097,0,0.275,1,0,0.8583199977874756,0.051505068131003064,7.038392782211304,5.48497364433619,False,0
0,1,1.5,0.2,0.882236423909911,0.21635652759135024,0.7433034484420097,0,0.275,1,0,0.8690323829650879,0.054765280712235236,7.03286600112915,5.4581015022819255,False,0
0,1,6.0,0.2,0.882236423909911,0.20965355590895285,0.7433034484420097,0,0.275,1,0,0.8502050638198853,0.05127137031697903,7.034827709197998,5.476082668124958,False,0
0,1,10.0,0.2,0.882236423909911,0.21136478582324222,0.7433034484420097,0,0.275,1,0,0.8563371896743774,0.051287627202853375,7.025481224060059,5.473745095926154,False,0
0,1,20.0,0.2,0.882236423909911,0.2119100348668327,0.7433034484420097,0,0.275,1,0,0.8541826605796814,0.05152556947431863,7.0282227993011475,5.466699994599201,False,0
0,1,25.0,0.2,0.882236423909911,0.21276274222393216,0.7433034484420097,0,0.275,1,0,0.8521896600723267,0.04805073669550944,7.024139165878296,5.458299032886349,False,0
